Metric Rankings (lower is better),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,num_authors,added_loc,changed_loc,num_changes,added_loc_loc,changed_loc_num_changes,added_loc_deleted_loc,num_all_lines,loc,deleted_loc,deleted_loc_loc,blank_lines,comments,author_exp_score2,author_commit_time_score2,author_commit_date_score2
linux kernel,5,12,16,6,8,13,11,10,15,3,2,7,14,1,9,4
openssl,1,14,10,4,8,13,9,12,11,7,3,15,16,2,5,6
esp-idf,2,15,14,4,8,12,13,9,11,5,3,10,16,1,7,6
php-src,3,14,16,5,6,12,10,11,9,8,7,13,15,1,2,4
qemu,5,16,13,9,8,14,11,7,10,2,4,12,15,1,6,3
zfs,3,13,10,4,7,6,9,14,15,11,8,16,12,1,2,5
systemd,4,12,8,3,9,11,10,15,14,7,6,13,16,1,2,5
emscripten,7,16,15,5,6,12,11,13,14,10,8,4,9,1,2,3
zephyr,4,15,13,1,8,11,12,9,14,5,3,10,16,2,6,7
optee_os,8,14,13,6,10,9,11,12,15,4,3,7,16,1,5,2
FreeRDP,1,15,14,3,8,13,11,9,10,5,6,12,16,4,2,7
llvm-project,13,11,2,4,10,9,8,14,12,7,5,15,16,6,1,3
RetroArch,4,11,10,7,8,14,9,12,13,5,6,15,16,3,2,1
obs-studio,2,14,15,3,9,10,11,12,13,7,6,8,16,1,4,5
openwrt,10,15,12,11,2,9,13,8,7,4,5,14,16,1,3,6
gnucash,4,8,9,5,7,12,6,13,14,16,11,15,10,1,2,3
curl,1,5,6,4,10,12,11,9,8,15,13,16,14,3,2,7
redis,3,13,14,5,6,9,12,10,11,7,8,16,15,1,2,4
linux-rbpi,11,13,14,16,2,10,5,9,12,6,3,8,15,1,7,4
git,1,13,14,4,8,12,11,10,9,7,6,15,16,3,2,5
libuv,10,12,14,5,4,13,6,8,7,11,9,15,16,2,3,1
,4.8571,12.9048,12.0000,5.4286,7.2381,11.2381,10.0000,10.7619,11.6190,7.2381,5.9524,12.1905,14.8095,1.8095,3.6190,4.3333
